date,gpu_group,count,avg_price,min_price,max_price
2026-03-19,RTX 5090,4,6247058,6000770,6690000
2026-03-19,RTX 5080,4,2219965,2080360,2373700
2026-03-19,RTX 5070 Ti,4,1656978,1543430,1747480
2026-03-19,RTX 5070,4,1049580,988890,1116790
2026-03-19,RTX 5060 Ti,4,831505,633260,907530
2026-03-19,RTX 5060,4,588470,576000,603700
2026-03-19,RX 9070 XT,6,1261020,1096340,1422700
2026-03-19,RX 9060 XT,3,719220,659730,787930
2026-03-19,RTX 5090,8,6247091,6000770,6690000
2026-03-19,RTX 5080,8,2220582,2080320,2378900
2026-03-19,RTX 5070 Ti,8,1659212,1543430,1747480
2026-03-19,RTX 5070,8,1049849,988890,1118890
2026-03-19,RTX 5060 Ti,8,834165,633240,928990
2026-03-19,RTX 5060,8,588884,575960,607400
2026-03-19,RX 9070 XT,12,1260054,1096300,1422700
2026-03-19,RX 9060 XT,6,719182,659500,787930
