date,category,pcode,name,price,url
2026-03-18,CPU,77790914,AMD 라이젠9-6세대 9950X3D (그래니트 릿지) (멀티팩 정품),985780,https://prod.danawa.com/info/?pcode=77790914&cate=112747
2026-03-18,CPU,62794079,AMD 라이젠5-6세대 9600X (그래니트 릿지) (멀티팩 정품),306970,https://prod.danawa.com/info/?pcode=62794079&cate=112747
2026-03-18,CPU,21694499,AMD 라이젠5-5세대 7500F (라파엘) (멀티팩 정품),219680,https://prod.danawa.com/info/?pcode=21694499&cate=112747
2026-03-18,CPU,69059687,인텔 코어 울트라7 시리즈2 265K (애로우레이크) (정품),492480,https://prod.danawa.com/info/?pcode=69059687&cate=112747
2026-03-18,RAM,18965774,ESSENCORE KLEVV DDR5-5600 CL46 파인인포 (16GB),334280,https://prod.danawa.com/info/?pcode=18965774&cate=112752
2026-03-18,RAM,18883523,SK하이닉스 DDR5-5600 (16GB),318530,https://prod.danawa.com/info/?pcode=18883523&cate=112752
2026-03-18,RAM,20369126,마이크론 Crucial DDR5-5600 CL46 대원씨티에스 (16GB),297430,https://prod.danawa.com/info/?pcode=20369126&cate=112752
2026-03-18,RAM,99893666,Apacer DDR5-5600 CL46 (16GB),335000,https://prod.danawa.com/info/?pcode=99893666
2026-03-18,RAM,11790199,삼성전자 DDR4-3200 (16GB),210450,https://prod.danawa.com/info/?pcode=11790199
2026-03-18,RAM,11787091,ESSENCORE KLEVV DDR4-3200 CL22 파인인포 (16GB),205350,https://prod.danawa.com/info/?pcode=11787091&cate=112752
2026-03-18,RAM,17931893,G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB(16Gx2)),745900,https://prod.danawa.com/info/?pcode=17931893&cate=112752
2026-03-18,RAM,32076077,ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린 (32GB(16Gx2)),775020,https://prod.danawa.com/info/?pcode=32076077&cate=112752
2026-03-18,GPU,76550939,MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6098990,https://prod.danawa.com/info/?pcode=76550939&cate=112753
2026-03-18,GPU,75376490,PALIT 지포스 RTX 5090 GAMEROCK D7 32GB 이엠텍,6000860,https://prod.danawa.com/info/?pcode=75376490&cate=112753
2026-03-18,GPU,75184277,GIGABYTE AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 제이씨현,6348890,https://prod.danawa.com/info/?pcode=75184277&cate=112753
2026-03-18,GPU,75375449,ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,6690000,https://prod.danawa.com/info/?pcode=75375449&cate=112753
2026-03-18,GPU,75184250,PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2080480,https://prod.danawa.com/info/?pcode=75184250&cate=112753
2026-03-18,GPU,75541700,MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2374490,https://prod.danawa.com/info/?pcode=75541700&cate=112753
2026-03-18,GPU,74971838,ZOTAC GAMING 지포스 RTX 5080 AMP EXTREME INFINITY D7 16GB,2308570,https://prod.danawa.com/info/?pcode=74971838&cate=112753
2026-03-18,GPU,75074666,GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 피씨디렉트,2117470,https://prod.danawa.com/info/?pcode=75074666&cate=112753
2026-03-18,GPU,76464143,ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1543430,https://prod.danawa.com/info/?pcode=76464143&cate=112753
2026-03-18,GPU,90160715,MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1727890,https://prod.danawa.com/info/?pcode=90160715&cate=112753
2026-03-18,GPU,77020520,이엠텍 지포스 RTX 5070 Ti MIRACLE WHITE D7 16GB,1609630,https://prod.danawa.com/info/?pcode=77020520&cate=112753
2026-03-18,GPU,76464395,ZOTAC GAMING 지포스 RTX 5070 Ti AMP Extreme Infinity D7 16GB,1747580,https://prod.danawa.com/info/?pcode=76464395&cate=112753
2026-03-18,GPU,79402577,PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1023880,https://prod.danawa.com/info/?pcode=79402577&cate=112753
2026-03-18,GPU,77379380,MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1117350,https://prod.danawa.com/info/?pcode=77379380&cate=112753
2026-03-18,GPU,77319413,ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,1069000,https://prod.danawa.com/info/?pcode=77319413&cate=112753
2026-03-18,GPU,77379452,MSI 지포스 RTX 5070 벤투스 2X OC D7 12GB,994890,https://prod.danawa.com/info/?pcode=77379452&cate=112753
2026-03-18,GPU,89732453,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,633750,https://prod.danawa.com/info/?pcode=89732453&cate=112753
2026-03-18,GPU,81037490,PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,879990,https://prod.danawa.com/info/?pcode=81037490&cate=112753
2026-03-18,GPU,81062540,ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 16GB,905620,https://prod.danawa.com/info/?pcode=81062540&cate=112753
2026-03-18,GPU,91189013,이엠텍 지포스 RTX 5060 Ti MIRACLE WHITE D7 16GB,798840,https://prod.danawa.com/info/?pcode=91189013&cate=112753
2026-03-18,GPU,90956033,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,605840,https://prod.danawa.com/info/?pcode=90956033&cate=112753
2026-03-18,GPU,90887879,PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,577400,https://prod.danawa.com/info/?pcode=90887879&cate=112753
2026-03-18,GPU,90892928,GAINWARD 지포스 RTX 5060 고스트 D7 8GB,593000,https://prod.danawa.com/info/?pcode=90892928&cate=112753
2026-03-18,GPU,91910279,ZOTAC GAMING 지포스 RTX 5060 Twin Edge OC D7 8GB,581890,https://prod.danawa.com/info/?pcode=91910279&cate=112753
2026-03-18,GPU,77378288,XFX 라데온 RX 9070 XT SWIFT D6 16GB,1096350,https://prod.danawa.com/info/?pcode=77378288&cate=112753
2026-03-18,GPU,77378093,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1423200,https://prod.danawa.com/info/?pcode=77378093&cate=112753
2026-03-18,GPU,77461292,ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,1179880,https://prod.danawa.com/info/?pcode=77461292&cate=112753
2026-03-18,GPU,77381780,SAPPHIRE 라데온 RX 9070 XT PURE OC D6 16GB,1337200,https://prod.danawa.com/info/?pcode=77381780&cate=112753
2026-03-18,GPU,77318285,ASRock 라데온 RX 9070 XT 스틸레전드 D6 16GB 대원씨티에스,1243000,https://prod.danawa.com/info/?pcode=77318285&cate=112753
2026-03-18,GPU,77378039,SAPPHIRE 라데온 RX 9070 XT PULSE D6 16GB,1288000,https://prod.danawa.com/info/?pcode=77378039&cate=112753
2026-03-18,GPU,91867763,GIGABYTE 라데온 RX 9060 XT Gaming OC D6 16GB 제이씨현,788520,https://prod.danawa.com/info/?pcode=91867763&cate=112753
2026-03-18,GPU,92892695,XFX 라데온 RX 9060 XT SWIFT DUAL OC D6 16GB,710000,https://prod.danawa.com/info/?pcode=92892695&cate=112753
2026-03-18,GPU,91909763,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,659740,https://prod.danawa.com/info/?pcode=91909763&cate=112753
2026-03-18,SSD,78716702,삼성전자 9100 PRO M.2 NVMe (1TB),436700,https://prod.danawa.com/info/?pcode=78716702&cate=11335282
2026-03-18,SSD,92186393,Western Digital WD BLACK SN8100 M.2 NVMe (1TB),490200,https://prod.danawa.com/info/?pcode=92186393
2026-03-18,SSD,72823220,SK하이닉스 Platinum P51 M.2 NVMe (1TB),499870,https://prod.danawa.com/info/?pcode=72823220&cate=11335282
2026-03-18,SSD,104228879,키오시아 EXCERIA PRO G2 M.2 NVMe (1TB),436880,https://prod.danawa.com/info/?pcode=104228879
2026-03-18,SSD,17788487,Western Digital WD BLACK SN850X M.2 NVMe (1TB),378920,https://prod.danawa.com/info/?pcode=17788487&cate=11335282
2026-03-18,SSD,18297002,삼성전자 990 PRO M.2 NVMe (1TB),394830,https://prod.danawa.com/info/?pcode=18297002&cate=11335282
2026-03-18,SSD,17001050,SK하이닉스 Platinum P41 M.2 NVMe (1TB),404610,https://prod.danawa.com/info/?pcode=17001050&cate=11335282
2026-03-18,SSD,74056493,키오시아 EXCERIA PLUS G4 M.2 NVMe (1TB),315000,https://prod.danawa.com/info/?pcode=74056493&cate=11335282
2026-03-18,SSD,69869543,삼성전자 990 EVO Plus M.2 NVMe (1TB),308920,https://prod.danawa.com/info/?pcode=69869543&cate=11335282
2026-03-18,SSD,13161338,SK하이닉스 Gold P31 M.2 NVMe (1TB),335800,https://prod.danawa.com/info/?pcode=13161338&cate=11335282
2026-03-18,SSD,41264234,마이크론 Crucial T705 M.2 NVMe 대원씨티에스 (1TB),323200,https://prod.danawa.com/info/?pcode=41264234&cate=112760
2026-03-18,SSD,67852961,마이크론 Crucial P310 M.2 NVMe 대원씨티에스 (1TB),289840,https://prod.danawa.com/info/?pcode=67852961&cate=11335282
2026-03-18,SSD,98242505,ESSENCORE KLEVV CRAS C910G M.2 NVMe (1TB),272890,https://prod.danawa.com/info/?pcode=98242505&cate=11335282
